Methodology,Mean Sensitivity (+/- SE),Mean FDR (+/- SE),Sample Size Per Condition,Fold-Change,Distribution
CSS MetagenomeSeq,0.245 +/- (0.048),0.749 +/- (0.033),150,1.5,Negative Binomial
CSS MetagenomeSeq,0.007 +/- (0.03),0.073 +/- (0.254),5,1.5,Beta-Binomial
CSS MetagenomeSeq,0.169 +/- (0.03),0.874 +/- (0.021),15,1.5,Beta-Binomial
CSS MetagenomeSeq,0.17 +/- (0.036),0.88 +/- (0.027),25,1.5,Beta-Binomial
CSS MetagenomeSeq,0.118 +/- (0.032),0.863 +/- (0.033),50,1.5,Beta-Binomial
CSS MetagenomeSeq,0.121 +/- (0.037),0.817 +/- (0.038),100,1.5,Beta-Binomial
CSS MetagenomeSeq,0.118 +/- (0.04),0.806 +/- (0.053),150,1.5,Beta-Binomial
CSS T-test,0.076 +/- (0.024),0,50,3,Negative Binomial
CSS T-test,0.122 +/- (0.032),0.01 +/- (0.028),50,5,Negative Binomial
CSS T-test,0.048 +/- (0.025),0,100,3,Negative Binomial
CSS T-test,0.119 +/- (0.034),0.036 +/- (0.079),100,5,Negative Binomial
CSS T-test,0.044 +/- (0.027),0,150,3,Negative Binomial
CSS T-test,0.13 +/- (0.052),0.031 +/- (0.063),150,5,Negative Binomial
CSS T-test,0,0,50,3,Beta-Binomial
CSS T-test,0.002 +/- (0.004),0,50,5,Beta-Binomial
CSS T-test,0.003 +/- (0.006),0,100,3,Beta-Binomial
CSS T-test,0.014 +/- (0.012),0,100,5,Beta-Binomial
CSS T-test,0.008 +/- (0.008),0,150,3,Beta-Binomial
CSS T-test,0.032 +/- (0.016),0,150,5,Beta-Binomial
CSS T-test,0,0,5,3,Beta-Binomial
CSS T-test,0,0,5,5,Beta-Binomial
CSS T-test,0,0,15,3,Beta-Binomial
CSS T-test,0,0,15,5,Beta-Binomial
CSS T-test,0,0,25,3,Beta-Binomial
CSS T-test,0.001 +/- (0.003),0,25,5,Beta-Binomial
CSS T-test,0 +/- (0.002),0,5,3,Negative Binomial
CSS T-test,0.002 +/- (0.005),0,5,5,Negative Binomial
CSS T-test,0.038 +/- (0.045),0,15,3,Negative Binomial
CSS T-test,0.102 +/- (0.045),0,15,5,Negative Binomial
CSS T-test,0.061 +/- (0.041),0,25,3,Negative Binomial
CSS T-test,0.116 +/- (0.028),0,25,5,Negative Binomial
CSS T-test,0,0,5,1.5,Negative Binomial
