Methodology,Mean Sensitivity (+/- SE),Mean FDR (+/- SE),Sample Size Per Condition,Fold-Change,Distribution
TMM Wilcox,0,0,15,1.5,Beta-Binomial
TMM Wilcox,0,0,25,1.5,Beta-Binomial
TMM Wilcox,0,0,50,1.5,Beta-Binomial
TMM Wilcox,0,0,100,1.5,Beta-Binomial
TMM Wilcox,0 +/- (0.002),0,150,1.5,Beta-Binomial
TSS T-test,0.069 +/- (0.028),0,50,3,Negative Binomial
TSS T-test,0.137 +/- (0.036),0,50,5,Negative Binomial
TSS T-test,0.063 +/- (0.028),0,100,3,Negative Binomial
TSS T-test,0.145 +/- (0.035),0.04 +/- (0.075),100,5,Negative Binomial
TSS T-test,0.07 +/- (0.032),0.023 +/- (0.082),150,3,Negative Binomial
TSS T-test,0.17 +/- (0.048),0.071 +/- (0.061),150,5,Negative Binomial
TSS T-test,0 +/- (0.002),0,50,3,Beta-Binomial
TSS T-test,0.006 +/- (0.007),0,50,5,Beta-Binomial
TSS T-test,0.007 +/- (0.007),0,100,3,Beta-Binomial
TSS T-test,0.022 +/- (0.014),0,100,5,Beta-Binomial
TSS T-test,0.01 +/- (0.009),0,150,3,Beta-Binomial
TSS T-test,0.05 +/- (0.017),0.028 +/- (0.057),150,5,Beta-Binomial
TSS T-test,0,0,5,3,Beta-Binomial
TSS T-test,0,0,5,5,Beta-Binomial
TSS T-test,0,0,15,3,Beta-Binomial
TSS T-test,0,0,15,5,Beta-Binomial
TSS T-test,0,0,25,3,Beta-Binomial
TSS T-test,0.002 +/- (0.004),0,25,5,Beta-Binomial
TSS T-test,0,0,5,3,Negative Binomial
TSS T-test,0,0,5,5,Negative Binomial
TSS T-test,0.002 +/- (0.008),0,15,3,Negative Binomial
TSS T-test,0.012 +/- (0.023),0,15,5,Negative Binomial
TSS T-test,0.004 +/- (0.009),0,25,3,Negative Binomial
TSS T-test,0.041 +/- (0.036),0,25,5,Negative Binomial
TSS T-test,0,0,5,1.5,Negative Binomial
TSS T-test,0,0,15,1.5,Negative Binomial
TSS T-test,0,0,25,1.5,Negative Binomial
TSS T-test,0,0,50,1.5,Negative Binomial
TSS T-test,0.001 +/- (0.003),0,100,1.5,Negative Binomial
TSS T-test,0 +/- (0.002),0,150,1.5,Negative Binomial
TSS T-test,0,0,5,1.5,Beta-Binomial
TSS T-test,0,0,15,1.5,Beta-Binomial
TSS T-test,0,0,25,1.5,Beta-Binomial
TSS T-test,0,0,50,1.5,Beta-Binomial
TSS T-test,0,0,100,1.5,Beta-Binomial
TSS T-test,0,0,150,1.5,Beta-Binomial
TSS Wilcox,0.2 +/- (0.045),0,50,3,Negative Binomial
TSS Wilcox,0.24 +/- (0.042),0.009 +/- (0.027),50,5,Negative Binomial
TSS Wilcox,0.233 +/- (0.039),0.01 +/- (0.022),100,3,Negative Binomial
TSS Wilcox,0.259 +/- (0.047),0.311 +/- (0.301),100,5,Negative Binomial
TSS Wilcox,0.241 +/- (0.03),0.155 +/- (0.195),150,3,Negative Binomial
TSS Wilcox,0.327 +/- (0.058),0.663 +/- (0.224),150,5,Negative Binomial
TSS Wilcox,0.006 +/- (0.008),0,50,3,Beta-Binomial
TSS Wilcox,0.073 +/- (0.034),0.004 +/- (0.02),50,5,Beta-Binomial
TSS Wilcox,0.052 +/- (0.023),0,100,3,Beta-Binomial
TSS Wilcox,0.264 +/- (0.057),0.026 +/- (0.044),100,5,Beta-Binomial
TSS Wilcox,0.142 +/- (0.044),0.002 +/- (0.012),150,3,Beta-Binomial
TSS Wilcox,0.47 +/- (0.055),0.073 +/- (0.063),150,5,Beta-Binomial
TSS Wilcox,0,0,5,3,Beta-Binomial
TSS Wilcox,0,0,5,5,Beta-Binomial
TSS Wilcox,0,0,15,3,Beta-Binomial
TSS Wilcox,0,0,15,5,Beta-Binomial
TSS Wilcox,0,0,25,3,Beta-Binomial
TSS Wilcox,0.01 +/- (0.014),0,25,5,Beta-Binomial
TSS Wilcox,0,0,5,3,Negative Binomial
TSS Wilcox,0,0,5,5,Negative Binomial
TSS Wilcox,0.01 +/- (0.018),0,15,3,Negative Binomial
TSS Wilcox,0.041 +/- (0.053),0,15,5,Negative Binomial
TSS Wilcox,0.022 +/- (0.033),0,25,3,Negative Binomial
TSS Wilcox,0.138 +/- (0.063),0.006 +/- (0.031),25,5,Negative Binomial
TSS Wilcox,0,0,5,1.5,Negative Binomial
TSS Wilcox,0,0,15,1.5,Negative Binomial
TSS Wilcox,0,0,25,1.5,Negative Binomial
TSS Wilcox,0.002 +/- (0.005),0,50,1.5,Negative Binomial
TSS Wilcox,0.009 +/- (0.019),0,100,1.5,Negative Binomial
TSS Wilcox,0.012 +/- (0.017),0,150,1.5,Negative Binomial
TSS Wilcox,0,0,5,1.5,Beta-Binomial
TSS Wilcox,0,0,15,1.5,Beta-Binomial
TSS Wilcox,0,0,25,1.5,Beta-Binomial
TSS Wilcox,0,0,50,1.5,Beta-Binomial
TSS Wilcox,0,0,100,1.5,Beta-Binomial
TSS Wilcox,0.001 +/- (0.003),0,150,1.5,Beta-Binomial
